Honda	Ridgeline	2016 Ridgeline Crew Cab	2016	Not Available	Truck	Not Available	Not Available	 Gas	Not Available	Not Available	 Four Wheel Drive	 Regular unleaded	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
Honda	Pilot	2014 Pilot SUV	2014	 18/25 mpg	SUV	 5-speed Automatic	 3 Yr./ 36000 Mi.	 Gas	8	V6	 Front Wheel Drive	 Regular unleaded	 3.5 L	 250 hp @ 5700 rpm	 253 ft-lbs. @ 4800 rpm	$29,670	        Yes	        No	        No
Chevrolet	Bolt	2017 Bolt Hatchback	2017	Not Available	Hatchback	Not Available	Not Available	 Electric	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
Nissan	Versa Note	2015 Versa Note Hatchback	2015	 27/36 mpg	Hatchback	 5-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.6 L	 109 hp @ 6000 rpm	 107 ft-lbs. @ 4400 rpm	$14,180	        Yes	        No	        No
Nissan	Versa Note	2016 Versa Note Hatchback	2016	 27/36 mpg	Hatchback	 5-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.6 L	 109 hp @ 6000 rpm	 107 ft-lbs. @ 4400 rpm	$14,180	        Yes	        No	        No
Nissan	Titan	2016 Titan Extended Cab	2016	Not Available	Truck	 6-speed Shiftable Automatic	Not Available	 Gas	6	V6	 Rear Wheel Drive	 Regular unleaded	 3.5 L	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
Nissan	Xterra	2015 Xterra SUV	2015	 16/22 mpg	SUV	 5-speed Automatic	 3 Yr./ 36000 Mi.	 Gas	5	V6	 Rear Wheel Drive	 Regular unleaded	 4.0 L	 261 hp @ 5600 rpm	 281 ft-lbs. @ 4000 rpm	$23,660	        Yes	        No	        No
Jaguar	XK	2014 XK XKR-S GT	2014	 15/22 mpg	Coupe	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	4	V8	 Rear Wheel Drive	 Premium unleaded (required)	 5.0 L	 550 hp @ 6000 rpm	 502 ft-lbs. @ 2500 rpm	Not Available	        Yes	        Yes	        Yes
Nissan	Titan	2015 Titan King Cab	2015	 13/18 mpg	Truck	 5-speed Automatic	 3 Yr./ 36000 Mi.	 Gas	6	V8	 Rear Wheel Drive	 Regular unleaded	 5.6 L	 317 hp @ 5200 rpm	 385 ft-lbs. @ 3400 rpm	$29,640	        No	        No	        No
MINI	Cooper	2015 Cooper Convertible	2015	 27/34 mpg	Convertible	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	4	Inline 4	 Front Wheel Drive	 Premium unleaded (required)	 1.6 L	 121 hp @ 6000 rpm	 114 ft-lbs. @ 4250 rpm	$25,700	        Yes	        Yes	        No
Lincoln	Continental	2017 Continental Sedan	2017	Not Available	Sedan	Not Available	Not Available	 Gas	Not Available	Not Available	 Front Wheel Drive	 Regular unleaded	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
MINI	Cooper	2014 Cooper Convertible	2014	 28/35 mpg	Convertible	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	4	Inline 4	 Front Wheel Drive	 Premium unleaded (required)	 1.6 L	 121 hp @ 6000 rpm	 114 ft-lbs. @ 4250 rpm	$25,150	        Yes	        Yes	        No
