,maker,model,specific_model,year,mpg,type,transmission,warranty,engine,seats,cylinders,drivetype,fuel,displacement,power,torque,price,bluetooth,heatseat,navigation,label
0,Acura,TSX,2014 TSX Sedan,2014, 22/31 mpg,Sedan, 5-speed Shiftable Automatic, 4 Yr./ 50000 Mi., Gas,5,Inline 4, Front Wheel Drive, Premium unleaded (recommended), 2.4 L, 201 hp @ 7000 rpm, 170 ft-lbs. @ 4300 rpm,"$30,635 ",        Yes,        Yes,        No,0
1,Acura,TSX Sport Wagon,2014 TSX Sport Wagon ,2014,Not Available,Wagon, 5-speed Shiftable Automatic, 4 Yr./ 50000 Mi., Gas,5,Inline 4, Front Wheel Drive, Premium unleaded (recommended), 2.4 L, 201 hp @ 7000 rpm, 170 ft-lbs. @ 4300 rpm,"$31,985 ",        Yes,        Yes,        No,1
2,Acura,TL,2014 TL Sedan,2014, 20/29 mpg,Sedan, 6-speed Shiftable Automatic, 4 Yr./ 50000 Mi., Gas,5,V6, Front Wheel Drive, Premium unleaded (recommended), 3.5 L, 280 hp @ 6200 rpm, 254 ft-lbs. @ 5000 rpm,"$36,030 ",        Yes,        Yes,        No,2
3,Acura,ILX Hybrid,2014 ILX Hybrid Sedan,2014, 39/38 mpg,Sedan, Continuously Variable-speed Automatic, 4 Yr./ 50000 Mi., Hybrid,5,Inline 4, Front Wheel Drive, Premium unleaded (recommended), 1.5 L, 111 hp @ 5500 rpm, 127 ft-lbs. @ 1000 rpm,"$28,900 ",        Yes,        No,        No,0
4,Acura,NSX,2017 NSX Coupe,2017,Not Available,Coupe, 7-speed Automatic,Not Available, Hybrid,Not Available,V6, All Wheel Drive, Premium unleaded (required), 3.5 L,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-1
5,Acura,ILX,2015 ILX Sedan,2015, 24/35 mpg,Sedan, 5-speed Shiftable Automatic, 4 Yr./ 50000 Mi., Gas,5,Inline 4, Front Wheel Drive, Premium unleaded (recommended), 2.0 L, 150 hp @ 6500 rpm, 140 ft-lbs. @ 4300 rpm,"$27,050 ",        Yes,        Yes,        No,0
6,Acura,ILX,2014 ILX Sedan,2014, 24/35 mpg,Sedan, 5-speed Shiftable Automatic, 4 Yr./ 50000 Mi., Gas,5,Inline 4, Front Wheel Drive, Premium unleaded (recommended), 2.0 L, 150 hp @ 6500 rpm, 140 ft-lbs. @ 4300 rpm,"$26,900 ",        Yes,        Yes,        No,0
7,Acura,ILX,2016 ILX Sedan,2016, 25/36 mpg,Sedan, 8-speed Automated Manual, 4 Yr./ 50000 Mi., Gas,5,Inline 4, Front Wheel Drive, Premium unleaded (recommended), 2.4 L, 201 hp @ 6800 rpm, 180 ft-lbs. @ 3800 rpm,"$27,900 ",        Yes,        Yes,        No,0
8,Acura,RDX,2016 RDX SUV,2016, 20/29 mpg,SUV, 6-speed Shiftable Automatic, 4 Yr./ 50000 Mi., Gas,5,V6, Front Wheel Drive, Premium unleaded (recommended), 3.5 L, 279 hp @ 6200 rpm, 252 ft-lbs. @ 4900 rpm,"$35,270 ",        Yes,        Yes,        No,2
9,Acura,RDX,2014 RDX SUV,2014, 20/28 mpg,SUV, 6-speed Shiftable Automatic, 4 Yr./ 50000 Mi., Gas,5,V6, Front Wheel Drive, Premium unleaded (recommended), 3.5 L, 273 hp @ 6200 rpm, 251 ft-lbs. @ 5000 rpm,"$34,520 ",        Yes,        Yes,        No,2
10,Acura,MDX,2017 MDX SUV,2017,Not Available,SUV,Not Available,Not Available, Gas,Not Available,Not Available, All Wheel Drive, Premium unleaded (recommended),Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3
11,Acura,MDX,2014 MDX SUV,2014, 20/28 mpg,SUV, 6-speed Shiftable Automatic, 4 Yr./ 50000 Mi., Gas,7,V6, Front Wheel Drive, Premium unleaded (recommended), 3.5 L, 290 hp @ 6200 rpm, 267 ft-lbs. @ 4500 rpm,"$42,290 ",        Yes,        Yes,        No,2
